AI Architect	TechCorp Inc	South Korea	92037.60	138056.40	USD	kaggle-ai-jobs	AI00012	2024-07-16	CT	EX	Manufacturing	f	R,Data Visualization,Python,Azure
AI Consultant	Predictive Systems	France	99484.00	149226.00	EUR	kaggle-ai-jobs	AI00013	2024-12-29	CT	SE	Automotive	t	Tableau,Python,TensorFlow
Autonomous Systems Engineer	Cloud AI Solutions	Norway	55008.00	82512.00	USD	kaggle-ai-jobs	AI00014	2024-02-11	CT	EN	Energy	f	Scala,SQL,Statistics
AI Research Scientist	Advanced Robotics	Sweden	120097.60	180146.40	USD	kaggle-ai-jobs	AI00015	2024-10-02	FT	SE	Technology	t	PyTorch,Python,Data Visualization,GCP
AI Product Manager	DataVision Ltd	United Kingdom	63076.80	94615.20	GBP	kaggle-ai-jobs	AI00016	2024-09-28	PT	EN	Consulting	f	Linux,Statistics,Deep Learning
Principal Data Scientist	Predictive Systems	India	47858.40	71787.60	USD	kaggle-ai-jobs	AI00017	2025-02-06	FT	EN	Real Estate	t	Tableau,NLP,Spark
Machine Learning Engineer	AI Innovations	France	144911.20	217366.80	EUR	kaggle-ai-jobs	AI00018	2024-04-24	CT	EX	Real Estate	t	MLOps,PyTorch,Azure
Data Engineer	Algorithmic Solutions	Singapore	124240.00	186360.00	USD	kaggle-ai-jobs	AI00019	2024-04-30	CT	SE	Finance	f	Git,Hadoop,R,Python,Spark
Research Scientist	AI Innovations	Netherlands	75080.80	112621.20	EUR	kaggle-ai-jobs	AI00020	2024-05-01	PT	MI	Transportation	t	Java,Scala,NLP,Docker,Computer Vision
Data Engineer	AI Innovations	Norway	107357.60	161036.40	USD	kaggle-ai-jobs	AI00021	2024-06-21	FT	MI	Telecommunications	f	Deep Learning,AWS,Azure
Autonomous Systems Engineer	Cognitive Computing	United States	82040.00	123060.00	USD	kaggle-ai-jobs	AI00022	2024-04-23	PT	MI	Automotive	f	Tableau,Spark,NLP,TensorFlow,PyTorch
ML Ops Engineer	Quantum Computing Inc	Germany	79505.60	119258.40	EUR	kaggle-ai-jobs	AI00023	2025-03-13	CT	SE	Automotive	f	Hadoop,Git,Tableau
AI Product Manager	Cloud AI Solutions	Austria	41733.60	62600.40	USD	kaggle-ai-jobs	AI00024	2024-06-07	FT	MI	Telecommunications	t	Git,Hadoop,Docker
ML Ops Engineer	AI Innovations	China	43138.40	64707.60	USD	kaggle-ai-jobs	AI00025	2024-10-27	FT	MI	Healthcare	f	AWS,Azure,Git,SQL,Computer Vision
Robotics Engineer	DataVision Ltd	Israel	87823.20	131734.80	USD	kaggle-ai-jobs	AI00026	2024-08-01	PT	SE	Government	t	Linux,Git,Tableau,Kubernetes,Data Visualization
ML Ops Engineer	TechCorp Inc	Australia	64783.20	97174.80	USD	kaggle-ai-jobs	AI00027	2024-11-18	CT	MI	Media	f	Hadoop,Linux,Git,Scala
Data Analyst	Predictive Systems	Austria	42397.60	63596.40	USD	kaggle-ai-jobs	AI00028	2025-01-10	PT	MI	Government	f	Mathematics,Kubernetes,TensorFlow,Tableau,PyTorch
Head of AI	Cognitive Computing	Ireland	34255.20	51382.80	USD	kaggle-ai-jobs	AI00029	2024-10-08	CT	EN	Healthcare	f	Python,Scala,NLP,Mathematics,Git
ML Ops Engineer	Future Systems	Israel	65666.40	98499.60	USD	kaggle-ai-jobs	AI00030	2024-01-18	CT	MI	Retail	t	Azure,Python,Computer Vision,Kubernetes,TensorFlow
Head of AI	Advanced Robotics	Netherlands	53990.40	80985.60	EUR	kaggle-ai-jobs	AI00031	2024-05-16	FT	EN	Retail	t	Deep Learning,GCP,AWS,Linux,Tableau
Research Scientist	Cloud AI Solutions	Denmark	54899.20	82348.80	USD	kaggle-ai-jobs	AI00032	2024-01-31	FT	EN	Real Estate	f	Azure,Python,Spark
Robotics Engineer	Cognitive Computing	Switzerland	117481.60	176222.40	USD	kaggle-ai-jobs	AI00033	2024-08-28	FT	SE	Real Estate	f	NLP,Scala,Python
ML Ops Engineer	Predictive Systems	Finland	142546.40	213819.60	USD	kaggle-ai-jobs	AI00034	2024-03-01	FL	EX	Education	f	Tableau,Azure,GCP,Linux,Python
Deep Learning Engineer	Smart Analytics	Sweden	120691.20	181036.80	USD	kaggle-ai-jobs	AI00035	2024-10-26	FL	SE	Consulting	f	R,GCP,MLOps,Linux
Head of AI	Autonomous Tech	Finland	101553.60	152330.40	USD	kaggle-ai-jobs	AI00036	2024-01-31	CT	EX	Finance	f	Git,Hadoop,Data Visualization
AI Architect	TechCorp Inc	Japan	43001.60	64502.40	USD	kaggle-ai-jobs	AI00037	2024-10-17	PT	MI	Telecommunications	t	Data Visualization,Tableau,AWS,Mathematics,Python
Robotics Engineer	Autonomous Tech	Israel	89104.80	133657.20	USD	kaggle-ai-jobs	AI00038	2024-01-14	CT	EX	Government	f	Linux,PyTorch,SQL,Statistics
AI Specialist	Future Systems	China	33144.00	49716.00	USD	kaggle-ai-jobs	AI00039	2024-06-15	PT	EN	Healthcare	f	Tableau,Docker,GCP
Data Engineer	DeepTech Ventures	Netherlands	132864.00	199296.00	EUR	kaggle-ai-jobs	AI00040	2024-03-01	FL	EX	Government	t	Computer Vision,Azure,Tableau
Data Scientist	DataVision Ltd	United States	77564.80	116347.20	USD	kaggle-ai-jobs	AI00041	2024-02-24	FT	MI	Telecommunications	f	Data Visualization,Azure,Spark,MLOps
AI Architect	DataVision Ltd	United States	157563.20	236344.80	USD	kaggle-ai-jobs	AI00042	2025-03-17	FL	SE	Finance	f	Java,Mathematics,SQL
AI Specialist	Quantum Computing Inc	Finland	45396.00	68094.00	USD	kaggle-ai-jobs	AI00043	2025-02-01	PT	EN	Telecommunications	t	Spark,Mathematics,GCP
Machine Learning Researcher	AI Innovations	Singapore	90764.00	136146.00	USD	kaggle-ai-jobs	AI00044	2024-04-24	FT	SE	Retail	f	Hadoop,Docker,Python,Azure
ML Ops Engineer	Future Systems	Netherlands	127046.40	190569.60	EUR	kaggle-ai-jobs	AI00045	2025-03-03	PT	SE	Media	f	Docker,R,Linux
AI Research Scientist	DeepTech Ventures	United States	139730.40	209595.60	USD	kaggle-ai-jobs	AI00046	2024-01-10	CT	SE	Media	f	Data Visualization,Statistics,R
AI Research Scientist	Quantum Computing Inc	India	37402.40	56103.60	USD	kaggle-ai-jobs	AI00047	2024-11-16	CT	EN	Manufacturing	f	Scala,Java,Tableau
AI Software Engineer	TechCorp Inc	China	55216.00	82824.00	USD	kaggle-ai-jobs	AI00048	2024-09-05	FL	MI	Energy	f	Java,Azure,GCP
AI Specialist	Cognitive Computing	Switzerland	231052.00	346578.00	USD	kaggle-ai-jobs	AI00049	2024-08-08	PT	EX	Manufacturing	f	Deep Learning,Git,Data Visualization,Linux,Java
AI Consultant	Autonomous Tech	Austria	99896.80	149845.20	USD	kaggle-ai-jobs	AI00050	2025-03-10	FL	EX	Media	f	Hadoop,AWS,Linux,Docker,Statistics
AI Architect	TechCorp Inc	Germany	56312.80	84469.20	EUR	kaggle-ai-jobs	AI00051	2024-08-16	FT	MI	Government	f	Deep Learning,SQL,Mathematics
Research Scientist	Autonomous Tech	India	92300.80	138451.20	USD	kaggle-ai-jobs	AI00052	2024-03-12	FT	EX	Technology	t	Linux,R,Azure,Mathematics,Git
Research Scientist	Cognitive Computing	United States	85263.20	127894.80	USD	kaggle-ai-jobs	AI00053	2024-02-24	PT	MI	Gaming	t	Docker,Tableau,Mathematics
Data Scientist	DataVision Ltd	Norway	108184.00	162276.00	USD	kaggle-ai-jobs	AI00054	2024-07-07	PT	SE	Consulting	t	R,PyTorch,Kubernetes,Computer Vision
Research Scientist	Quantum Computing Inc	Israel	54085.60	81128.40	USD	kaggle-ai-jobs	AI00055	2024-08-05	PT	MI	Media	f	Python,Tableau,TensorFlow,AWS
AI Architect	Autonomous Tech	Canada	70776.00	106164.00	USD	kaggle-ai-jobs	AI00056	2024-07-29	PT	MI	Real Estate	f	Azure,Kubernetes,TensorFlow,Statistics,Spark
Autonomous Systems Engineer	Autonomous Tech	India	63890.40	95835.60	USD	kaggle-ai-jobs	AI00057	2024-09-28	FL	MI	Automotive	t	Python,Docker,GCP,Scala
Machine Learning Engineer	Advanced Robotics	Israel	48239.20	72358.80	USD	kaggle-ai-jobs	AI00058	2025-03-22	PT	EN	Finance	t	Git,Linux,Python,TensorFlow,Mathematics
Machine Learning Engineer	AI Innovations	Germany	68516.00	102774.00	EUR	kaggle-ai-jobs	AI00059	2024-02-09	FT	MI	Transportation	f	PyTorch,Computer Vision,R
AI Software Engineer	TechCorp Inc	United Kingdom	88177.60	132266.40	GBP	kaggle-ai-jobs	AI00060	2024-03-20	FL	SE	Media	f	R,Spark,AWS
Data Scientist	Predictive Systems	China	39492.00	59238.00	USD	kaggle-ai-jobs	AI00061	2024-06-22	FT	EN	Finance	f	Tableau,NLP,Azure,Statistics,PyTorch
Data Scientist	Neural Networks Co	Norway	129836.80	194755.20	USD	kaggle-ai-jobs	AI00062	2024-06-05	PT	SE	Finance	f	TensorFlow,Azure,Computer Vision,Data Visualization
AI Consultant	Smart Analytics	Switzerland	81905.60	122858.40	USD	kaggle-ai-jobs	AI00063	2024-03-23	PT	MI	Education	f	TensorFlow,Scala,Docker,Statistics
AI Software Engineer	Cloud AI Solutions	Australia	79977.60	119966.40	USD	kaggle-ai-jobs	AI00064	2024-02-20	PT	MI	Technology	f	Java,R,Deep Learning,NLP,Azure
Data Engineer	Machine Intelligence Group	South Korea	51303.20	76954.80	USD	kaggle-ai-jobs	AI00065	2024-12-15	CT	EN	Manufacturing	f	Java,Git,Deep Learning
AI Specialist	Machine Intelligence Group	Ireland	70350.40	105525.60	USD	kaggle-ai-jobs	AI00066	2024-12-15	FT	SE	Education	t	Mathematics,Spark,Python,AWS
Autonomous Systems Engineer	Advanced Robotics	Israel	57124.00	85686.00	USD	kaggle-ai-jobs	AI00067	2024-09-01	FL	MI	Retail	f	SQL,Java,MLOps,Linux,PyTorch
Machine Learning Engineer	Digital Transformation LLC	Denmark	252945.60	379418.40	USD	kaggle-ai-jobs	AI00068	2025-02-09	PT	EX	Finance	f	Python,Scala,Statistics,Git
Machine Learning Researcher	Quantum Computing Inc	Germany	57967.20	86950.80	EUR	kaggle-ai-jobs	AI00069	2024-08-30	PT	EN	Gaming	t	Hadoop,Python,Kubernetes,Azure
Principal Data Scientist	Cognitive Computing	France	62670.40	94005.60	EUR	kaggle-ai-jobs	AI00070	2024-10-31	FT	MI	Technology	t	MLOps,Kubernetes,Git,Python
NLP Engineer	Neural Networks Co	Israel	41525.60	62288.40	USD	kaggle-ai-jobs	AI00071	2024-02-14	FL	MI	Healthcare	t	AWS,Kubernetes,Azure
Autonomous Systems Engineer	Algorithmic Solutions	France	98264.80	147397.20	EUR	kaggle-ai-jobs	AI00072	2024-05-31	FL	SE	Real Estate	t	PyTorch,Kubernetes,Git,SQL
Machine Learning Researcher	Cognitive Computing	Norway	99856.00	149784.00	USD	kaggle-ai-jobs	AI00073	2024-08-02	FL	MI	Real Estate	f	NLP,Azure,Statistics,Spark,Mathematics
Autonomous Systems Engineer	Machine Intelligence Group	United Kingdom	107360.00	161040.00	GBP	kaggle-ai-jobs	AI00074	2024-11-29	PT	SE	Retail	f	Linux,R,Tableau
Data Engineer	Digital Transformation LLC	Sweden	41536.00	62304.00	USD	kaggle-ai-jobs	AI00075	2025-04-08	PT	EN	Consulting	t	Scala,R,Tableau,Data Visualization
Data Engineer	DeepTech Ventures	Singapore	45141.60	67712.40	USD	kaggle-ai-jobs	AI00076	2024-11-16	FL	EN	Energy	t	Mathematics,Kubernetes,Spark
AI Product Manager	Quantum Computing Inc	Canada	171026.40	256539.60	USD	kaggle-ai-jobs	AI00077	2024-09-19	FT	EX	Energy	t	Kubernetes,Spark,Statistics,Scala
ML Ops Engineer	DataVision Ltd	Israel	47782.40	71673.60	USD	kaggle-ai-jobs	AI00078	2024-06-10	FL	MI	Finance	f	MLOps,SQL,Statistics
Computer Vision Engineer	Autonomous Tech	India	95545.60	143318.40	USD	kaggle-ai-jobs	AI00079	2024-04-20	CT	SE	Technology	f	Scala,MLOps,NLP
AI Research Scientist	TechCorp Inc	United States	227588.80	341383.20	USD	kaggle-ai-jobs	AI00080	2025-02-13	CT	EX	Consulting	f	PyTorch,Linux,SQL
Data Analyst	Neural Networks Co	France	126077.60	189116.40	EUR	kaggle-ai-jobs	AI00081	2024-08-31	CT	EX	Manufacturing	f	Git,Kubernetes,TensorFlow,R,Java
ML Ops Engineer	TechCorp Inc	Australia	157553.60	236330.40	USD	kaggle-ai-jobs	AI00082	2024-04-01	CT	EX	Gaming	t	R,Tableau,SQL,MLOps,Docker
Machine Learning Researcher	Cognitive Computing	Canada	166038.40	249057.60	USD	kaggle-ai-jobs	AI00083	2024-02-05	CT	EX	Energy	f	NLP,Azure,Spark,Data Visualization
NLP Engineer	TechCorp Inc	Sweden	55070.40	82605.60	USD	kaggle-ai-jobs	AI00084	2024-06-20	FL	MI	Automotive	f	Java,SQL,Spark,Tableau,Azure
ML Ops Engineer	TechCorp Inc	Finland	100532.80	150799.20	USD	kaggle-ai-jobs	AI00085	2024-06-19	FL	EX	Telecommunications	t	Docker,Python,Git,Kubernetes,Java
NLP Engineer	Machine Intelligence Group	Denmark	58539.20	87808.80	USD	kaggle-ai-jobs	AI00086	2024-07-14	FT	EN	Finance	f	Git,MLOps,Hadoop,Python,Spark
Autonomous Systems Engineer	Future Systems	Israel	26651.20	39976.80	USD	kaggle-ai-jobs	AI00087	2025-04-16	CT	EN	Manufacturing	f	SQL,Kubernetes,Docker
AI Specialist	Smart Analytics	United States	55931.20	83896.80	USD	kaggle-ai-jobs	AI00088	2025-02-15	FT	EN	Transportation	t	R,NLP,SQL,GCP
Principal Data Scientist	AI Innovations	France	121694.40	182541.60	EUR	kaggle-ai-jobs	AI00089	2024-05-20	FL	EX	Automotive	f	Spark,SQL,Python,Mathematics,Linux
AI Software Engineer	Digital Transformation LLC	France	62411.20	93616.80	EUR	kaggle-ai-jobs	AI00090	2024-11-19	CT	EN	Real Estate	f	PyTorch,Hadoop,Scala,Computer Vision
Research Scientist	Predictive Systems	Canada	38772.80	58159.20	USD	kaggle-ai-jobs	AI00091	2025-03-10	PT	EN	Automotive	t	Hadoop,Spark,Kubernetes,Python
Data Analyst	Algorithmic Solutions	France	78397.60	117596.40	EUR	kaggle-ai-jobs	AI00092	2024-06-19	CT	SE	Technology	f	Hadoop,Python,TensorFlow,R,Statistics
Principal Data Scientist	Neural Networks Co	Singapore	102672.80	154009.20	USD	kaggle-ai-jobs	AI00093	2025-04-26	FL	SE	Finance	f	Computer Vision,PyTorch,GCP,Linux
AI Research Scientist	Predictive Systems	United States	89222.40	133833.60	USD	kaggle-ai-jobs	AI00094	2024-03-01	FL	MI	Real Estate	f	Java,Hadoop,Mathematics
Machine Learning Researcher	DeepTech Ventures	Canada	111156.00	166734.00	USD	kaggle-ai-jobs	AI00095	2024-07-10	PT	EX	Education	f	Linux,R,NLP,PyTorch,Git
NLP Engineer	Cognitive Computing	Israel	78950.40	118425.60	USD	kaggle-ai-jobs	AI00096	2024-04-10	FT	SE	Manufacturing	f	Statistics,Python,TensorFlow,PyTorch,Git
Data Analyst	Predictive Systems	France	87223.20	130834.80	EUR	kaggle-ai-jobs	AI00097	2025-04-05	FT	SE	Technology	f	Kubernetes,Scala,Java
NLP Engineer	Machine Intelligence Group	Canada	67837.60	101756.40	USD	kaggle-ai-jobs	AI00098	2024-12-04	FT	MI	Real Estate	f	Deep Learning,Statistics,Computer Vision,TensorFlow,Mathematics
Machine Learning Researcher	Smart Analytics	Switzerland	232159.20	348238.80	USD	kaggle-ai-jobs	AI00099	2025-01-12	CT	EX	Retail	f	Python,AWS,Kubernetes,Deep Learning
AI Research Scientist	Advanced Robotics	United States	156552.80	234829.20	USD	kaggle-ai-jobs	AI00100	2024-04-20	CT	SE	Transportation	f	AWS,Kubernetes,Docker,Mathematics,MLOps
AI Product Manager	Cognitive Computing	Norway	154758.40	232137.60	USD	kaggle-ai-jobs	AI00101	2025-01-02	FT	SE	Consulting	t	Scala,Git,Java
AI Product Manager	Smart Analytics	Israel	110772.80	166159.20	USD	kaggle-ai-jobs	AI00102	2024-01-25	PT	EX	Government	t	Azure,AWS,PyTorch,GCP,Hadoop
Data Analyst	Algorithmic Solutions	Netherlands	73261.60	109892.40	EUR	kaggle-ai-jobs	AI00103	2024-01-27	CT	MI	Transportation	t	Spark,Mathematics,PyTorch,SQL,TensorFlow
Computer Vision Engineer	Digital Transformation LLC	Sweden	74300.00	111450.00	USD	kaggle-ai-jobs	AI00104	2024-07-21	FT	MI	Real Estate	f	SQL,Python,Deep Learning
Data Engineer	Cloud AI Solutions	United Kingdom	170629.60	255944.40	GBP	kaggle-ai-jobs	AI00105	2025-03-03	FT	EX	Healthcare	t	TensorFlow,GCP,PyTorch,Spark
NLP Engineer	AI Innovations	Japan	49736.80	74605.20	USD	kaggle-ai-jobs	AI00106	2024-09-15	FT	MI	Consulting	f	Git,SQL,PyTorch,Mathematics
AI Research Scientist	TechCorp Inc	South Korea	122126.40	183189.60	USD	kaggle-ai-jobs	AI00107	2024-01-28	FL	EX	Automotive	f	Data Visualization,PyTorch,Spark,TensorFlow
ML Ops Engineer	Predictive Systems	Norway	76068.00	114102.00	USD	kaggle-ai-jobs	AI00108	2024-03-20	FT	MI	Retail	t	TensorFlow,SQL,NLP,Computer Vision,Git
Deep Learning Engineer	AI Innovations	France	69400.00	104100.00	EUR	kaggle-ai-jobs	AI00109	2024-12-13	FL	MI	Government	t	Java,R,Git,Mathematics,Spark
AI Specialist	TechCorp Inc	Israel	51408.80	77113.20	USD	kaggle-ai-jobs	AI00110	2024-09-04	PT	MI	Transportation	f	PyTorch,Docker,GCP
Machine Learning Researcher	Predictive Systems	United States	164285.60	246428.40	USD	kaggle-ai-jobs	AI00111	2024-03-08	PT	EX	Education	t	Computer Vision,Hadoop,Git,AWS
AI Architect	Neural Networks Co	France	132540.80	198811.20	EUR	kaggle-ai-jobs	AI00112	2024-05-13	CT	EX	Government	f	TensorFlow,Linux,SQL,Hadoop
Computer Vision Engineer	Algorithmic Solutions	France	91726.40	137589.60	EUR	kaggle-ai-jobs	AI00113	2024-03-18	CT	SE	Telecommunications	t	SQL,Scala,Python
Data Scientist	Digital Transformation LLC	France	114519.20	171778.80	EUR	kaggle-ai-jobs	AI00114	2024-03-13	FL	SE	Real Estate	f	NLP,Computer Vision,Mathematics,Statistics,R
Machine Learning Researcher	Future Systems	Germany	93020.80	139531.20	EUR	kaggle-ai-jobs	AI00115	2024-08-14	FL	SE	Technology	f	Azure,R,Linux,MLOps
NLP Engineer	Autonomous Tech	United States	48844.00	73266.00	USD	kaggle-ai-jobs	AI00116	2024-06-04	FL	EN	Retail	t	R,AWS,Computer Vision,Statistics,Docker
ML Ops Engineer	DataVision Ltd	Austria	40242.40	60363.60	USD	kaggle-ai-jobs	AI00117	2024-08-11	FT	EN	Gaming	t	Kubernetes,SQL,Azure,Deep Learning,Linux
Data Analyst	Smart Analytics	Ireland	52456.00	78684.00	USD	kaggle-ai-jobs	AI00118	2024-10-22	FL	SE	Retail	f	PyTorch,SQL,MLOps,AWS,TensorFlow
AI Software Engineer	Neural Networks Co	Singapore	184862.40	277293.60	USD	kaggle-ai-jobs	AI00119	2024-04-15	FL	EX	Consulting	f	MLOps,R,Git,Mathematics
AI Product Manager	Algorithmic Solutions	Australia	85306.40	127959.60	USD	kaggle-ai-jobs	AI00120	2024-05-18	FT	SE	Automotive	t	Linux,Scala,SQL,Git
AI Specialist	Quantum Computing Inc	Austria	96944.00	145416.00	USD	kaggle-ai-jobs	AI00121	2025-01-06	FL	SE	Media	f	Git,Deep Learning,Kubernetes,Linux,GCP
Principal Data Scientist	Smart Analytics	China	51624.80	77437.20	USD	kaggle-ai-jobs	AI00122	2025-03-26	PT	EN	Retail	f	Git,SQL,Scala,Python,Computer Vision
Machine Learning Engineer	DataVision Ltd	Singapore	100523.20	150784.80	USD	kaggle-ai-jobs	AI00123	2024-06-20	CT	MI	Automotive	f	Python,Tableau,Java
Machine Learning Researcher	DeepTech Ventures	Austria	145820.00	218730.00	USD	kaggle-ai-jobs	AI00124	2025-04-19	FT	EX	Technology	f	Docker,AWS,Linux,Git,Azure
Machine Learning Researcher	Neural Networks Co	Denmark	94166.40	141249.60	USD	kaggle-ai-jobs	AI00125	2024-02-24	FL	MI	Transportation	f	PyTorch,Scala,Linux,Tableau,Deep Learning
Data Engineer	Future Systems	South Korea	114596.80	171895.20	USD	kaggle-ai-jobs	AI00126	2024-12-25	FT	EX	Healthcare	f	Docker,SQL,Kubernetes,Git,Statistics
AI Product Manager	DeepTech Ventures	Denmark	162558.40	243837.60	USD	kaggle-ai-jobs	AI00127	2024-12-04	FT	SE	Consulting	f	Statistics,R,Python,TensorFlow
Research Scientist	Machine Intelligence Group	Switzerland	55589.60	83384.40	USD	kaggle-ai-jobs	AI00128	2024-11-04	CT	EN	Transportation	f	Kubernetes,Azure,Spark,TensorFlow,Linux
AI Product Manager	Neural Networks Co	Ireland	76538.40	114807.60	USD	kaggle-ai-jobs	AI00129	2024-08-24	FL	EX	Technology	f	GCP,R,Azure,Deep Learning,PyTorch
AI Software Engineer	Smart Analytics	Austria	47524.00	71286.00	USD	kaggle-ai-jobs	AI00130	2025-03-18	FL	EN	Consulting	t	Spark,Python,Deep Learning,Linux,Java
AI Specialist	AI Innovations	Netherlands	105404.80	158107.20	EUR	kaggle-ai-jobs	AI00131	2024-08-03	PT	SE	Technology	f	AWS,R,Spark
AI Software Engineer	Machine Intelligence Group	South Korea	34268.00	51402.00	USD	kaggle-ai-jobs	AI00132	2025-03-02	PT	EN	Media	f	Python,TensorFlow,PyTorch
Autonomous Systems Engineer	Predictive Systems	Canada	49514.40	74271.60	USD	kaggle-ai-jobs	AI00133	2024-03-28	FT	EN	Consulting	f	Statistics,Python,SQL
ML Ops Engineer	Algorithmic Solutions	France	113432.80	170149.20	EUR	kaggle-ai-jobs	AI00134	2025-02-03	CT	EX	Media	f	Hadoop,Azure,Python,R
AI Product Manager	Cognitive Computing	United Kingdom	206909.60	310364.40	GBP	kaggle-ai-jobs	AI00135	2025-01-16	PT	EX	Education	f	Computer Vision,GCP,Azure,SQL,Python
NLP Engineer	Cloud AI Solutions	Finland	39588.00	59382.00	USD	kaggle-ai-jobs	AI00136	2024-08-09	FT	MI	Technology	f	Hadoop,Java,Data Visualization
Robotics Engineer	Smart Analytics	Norway	138332.80	207499.20	USD	kaggle-ai-jobs	AI00137	2024-12-29	PT	SE	Manufacturing	t	Computer Vision,SQL,PyTorch,Java
Machine Learning Engineer	Machine Intelligence Group	Denmark	259645.60	389468.40	USD	kaggle-ai-jobs	AI00138	2024-11-06	FT	EX	Telecommunications	t	Hadoop,Python,Git,TensorFlow
AI Consultant	Digital Transformation LLC	France	59115.20	88672.80	EUR	kaggle-ai-jobs	AI00139	2024-08-08	CT	MI	Consulting	f	PyTorch,Statistics,MLOps,Kubernetes,Computer Vision
Principal Data Scientist	Digital Transformation LLC	Sweden	98078.40	147117.60	USD	kaggle-ai-jobs	AI00140	2025-01-05	FT	SE	Media	f	Linux,AWS,Computer Vision,Deep Learning
Data Scientist	Algorithmic Solutions	Denmark	75582.40	113373.60	USD	kaggle-ai-jobs	AI00141	2024-05-24	FL	MI	Retail	t	PyTorch,TensorFlow,Hadoop,Python
Autonomous Systems Engineer	Machine Intelligence Group	Austria	42470.40	63705.60	USD	kaggle-ai-jobs	AI00142	2025-04-12	PT	EN	Finance	f	GCP,Kubernetes,Computer Vision,Deep Learning,SQL
Machine Learning Researcher	Predictive Systems	Denmark	92809.60	139214.40	USD	kaggle-ai-jobs	AI00143	2024-09-23	FT	MI	Automotive	f	SQL,MLOps,Python
Deep Learning Engineer	AI Innovations	China	28474.40	42711.60	USD	kaggle-ai-jobs	AI00144	2024-03-09	CT	EN	Media	f	Python,Hadoop,Deep Learning
AI Product Manager	Smart Analytics	Austria	119242.40	178863.60	USD	kaggle-ai-jobs	AI00145	2024-11-17	FT	EX	Media	f	GCP,Linux,R,Hadoop
Principal Data Scientist	DeepTech Ventures	Austria	70584.00	105876.00	USD	kaggle-ai-jobs	AI00146	2024-05-22	FT	MI	Education	f	TensorFlow,Git,Azure,Python
AI Research Scientist	TechCorp Inc	Australia	179935.20	269902.80	USD	kaggle-ai-jobs	AI00147	2024-12-02	FL	EX	Education	t	Kubernetes,Deep Learning,PyTorch
Machine Learning Researcher	TechCorp Inc	Netherlands	176351.20	264526.80	EUR	kaggle-ai-jobs	AI00148	2024-03-30	PT	EX	Manufacturing	t	SQL,Data Visualization,GCP,Deep Learning,MLOps
NLP Engineer	DeepTech Ventures	Finland	39088.80	58633.20	USD	kaggle-ai-jobs	AI00149	2024-07-04	PT	EN	Healthcare	t	GCP,Python,Computer Vision,Git
AI Specialist	Quantum Computing Inc	United States	92672.80	139009.20	USD	kaggle-ai-jobs	AI00150	2024-10-25	FL	SE	Healthcare	f	TensorFlow,Kubernetes,Deep Learning
NLP Engineer	Neural Networks Co	Ireland	45812.80	68719.20	USD	kaggle-ai-jobs	AI00151	2024-08-11	FL	MI	Media	f	Computer Vision,PyTorch,Linux,TensorFlow
Deep Learning Engineer	Autonomous Tech	Australia	53107.20	79660.80	USD	kaggle-ai-jobs	AI00152	2024-04-21	CT	MI	Government	f	Git,Tableau,Hadoop,Computer Vision
Data Analyst	Machine Intelligence Group	Sweden	147709.60	221564.40	USD	kaggle-ai-jobs	AI00153	2024-05-23	PT	EX	Government	t	R,SQL,Data Visualization
AI Research Scientist	DataVision Ltd	Netherlands	73956.00	110934.00	EUR	kaggle-ai-jobs	AI00154	2024-10-22	CT	MI	Technology	f	Linux,Python,Scala,Docker
